ScripCode,ScripId,BSE Exclusive,Status,GroupName,GSM,Long_Term_Additional_Surveillance_Measure (Long Term ASM),Unsolicited_SMS,Insolvency_Resolution_Process(IRP),Short_Term_Additional_Surveillance_Measure (Short Term ASM),Default,ICA,Filler4,Filler5,Pledge,Add-on_PB,Total Pledge,Social Media Platforms,ESM,Loss making,The Overall encumbered share in the scrip is more than 50 Percent.,Under Z Group,Company has failed to pay Annual listing fee,Filler12,Derivative contracts in the scrip to be moved out of F and O,Filler13,Filler14,Filler15,Filler16
539574,SCL,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
539570,ACEWIN,Y,S,MT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539562,AARNAV,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539561,REMLIFE,Y,A,X,100,100,100,100,1,100,100,,,100,1,100,100,100,100,100,100,100,,100,,,,
539560,ABHIJIT,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539559,DDIL,Y,A,X,100,1,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539552,FMEC,Y,A,X,1,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539551,NH,N,A,A,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539546,BNL,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539545,APOORVA,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
539544,ABHIINFRA,Y,A,X,1,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539543,VALLEY,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539542,LUXIND,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539533,ELITECON,Y,A,XT,0,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539528,AAYUSH,Y,A,XT,0,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
539527,CREATIVE,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539526,SCTL,Y,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539524,LALPATHLAB,N,A,A,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539523,ALKEM,N,A,A,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539522,GROVY,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539521,NAVIGANT,Y,A,MT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539520,SHAILJA,Y,S,Z,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,0,100,,100,,,,
539519,MAYUKH,Y,S,XT,4,100,100,100,100,100,100,,,100,100,100,2,100,100,100,100,100,,100,,,,
539518,UDAYJEW,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
539515,QUINT,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539506,ADCON,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
539495,RAJKOTINV,Y,A,XT,0,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
539494,SMARTFIN,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
539492,GARBIFIN,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539488,TFLL,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539486,GEETANJ,Y,S,XT,0,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,0,,100,,,,
539479,GTV,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
539470,SHREEGANES,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
539469,PANORAMA,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539468,TFSL,Y,A,X,0,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539455,ARYAVAN,Y,S,XT,4,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539450,SHK,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539449,IGCIL,Y,A,XT,0,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
539448,INDIGO,N,A,A,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
