New Entries:
| Manas Properties Limited            | M                                   | MT                   |
| DMR Hydroengineering & Infrast      | M                                   | MT                   |
| FIRST FINTEC LIMITED                | X                                   | XT                   |
| Rajdarshan Industries Limited       | T                                   | B                    |
| Kennametal India Limited            | A                                   | B                    |
| Sagarsoft (India) Limited           | X                                   | XT                   |
| PARSHWANATH CORPORATION LTD.        | X                                   | XT                   |
| MUFIN GREEN FINANCE LIMITED         | XT                                  | B                    |
| Parvati Sweetners and Power Lt      | XT                                  | X                    |
| Bartronics India Limited            | T                                   | B                    |
| SVARAJ TRADING & AGENCIES LTD.      | X                                   | XT                   |
| Creative Eye Limited                | B                                   | T                    |
| Asian Hotels (North) Limited        | B                                   | T                    |
| Davangere Sugar Company Limite      | X                                   | B                    |
| INDIA FINSEC LTD.                   | X                                   | XT                   |
| BARODA EXTRUSION LTD.               | X                                   | XT                   |
| Indo Thai Securities Limited        | B                                   | T                    |
| Sumuka Agro Industries Limited      | XT                                  | X                    |
| Aryaman Capital Markets Limite      | M                                   | MT                   |
| Southern Infosys Limited            | XT                                  | X                    |
| JAUSS POLYMERS LTD.                 | X                                   | XT                   |
| ARUNA HOTELS LTD.                   | X                                   | XT                   |
| AMRAWORLD AGRICO LTD.               | X                                   | XT                   |
| Indo Borax & Chemicals Limited      | T                                   | B                    |
| POLO HOTELS LTD.                    | XT                                  | Z                    |
| Samor Reality Limited               | MT                                  | B                    |
| GARWARE SYNTHETICS LTD.             | X                                   | XT                   |
| SAVEN TECHNOLOGIES LTD.             | X                                   | XT                   |
| Chandrima Mercantiles limited       | XT                                  | X                    |
| Shine Fashions (India) Limited      | M                                   | MT                   |
| EUREKA INDUSTRIES LTD.              | XT                                  | X                    |
| Aartech Solonics Limited            | T                                   | B                    |
| S&T CORPORATION LTD.                | XT                                  | X                    |
| Cupid Limited                       | B                                   | T                    |
| ECOPLAST LTD.                       | X                                   | XT                   |
| Rajeshwari Cans Limited             | M                                   | MT                   |
| BENGAL & ASSAM COMPANY LTD.         | A                                   | B                    |
| LE LAVOIR LIMITED                   | XT                                  | X                    |
| Veerkrupa Jewellers Limited         | M                                   | MT                   |
| EXPO GAS CONTAINERS LTD.            | X                                   | XT                   |
| Darshan Orna Limited                | T                                   | B                    |
| GCM CAPITAL ADVISORS LTD            | MT                                  | M                    |
| CRANEX LTD.                         | XT                                  | X                    |
| Concord Drugs Limited               | X                                   | XT                   |
| ENCODE PACKAGING INDIA LIMITED      | X                                   | XT                   |
| INDSIL HYDRO POWER AND MANGANE      | X                                   | XT                   |
| PARAGON FINANCE LTD.                | X                                   | XT                   |
| JULIEN AGRO INFRATECH LIMITED       | XT                                  | X                    |
| Netweb Technologies India Limited   | B                                   | T                    |
| Maan Aluminium Limited              | T                                   | B                    |
| AMRAPALI INDUSTRIES LTD.            | X                                   | XT                   |
| Brooks Laboratories Limited         | T                                   | B                    |
| Tega Industries Limited             | B                                   | A                    |
| Supreme Infrastructure India Limited | T                                   | Z                    |
| Galada Finance Limited              | X                                   | XT                   |
| Balkrishna Paper Mills Limited      | B                                   | T                    |
| PCS TECHNOLOGY LTD.                 | X                                   | XT                   |
| RAVINDRA ENERGY LIMITED             | X                                   | XT                   |
| ZODIAC VENTURES LIMITED             | X                                   | XT                   |
| K&R RAIL ENGINEERING LIMITED        | XT                                  | T                    |
| Ashoka Metcast Limited              | B                                   | T                    |
| Ind-Swift Limited                   | T                                   | B                    |
| Somany Ceramics Limited             | B                                   | A                    |
| Glenmark Life Sciences Limited      | B                                   | A                    |
| Seamec Limited                      | B                                   | T                    |
| Network18 Media & Investments Limited | A                                   | T                    |
| MAHARASHTRA CORPORATION LTD.        | XT                                  | X                    |
| PICTUREHOUSE MEDIA LTD.             | X                                   | XT                   |
| LAXMIPATI ENGINEERING WORKS LI      | M                                   | MT                   |
| Astec LifeSciences Limited          | A                                   | B                    |
| ISHITA DRUGS & INDUSTRIES LTD.      | XT                                  | X                    |
| Aananda Lakshmi Spinning Mills      | XT                                  | X                    |
| KBS INDIA LIMITED                   | X                                   | XT                   |
| VEEJAY LAKSHMI ENGINEERING WOR      | XT                                  | X                    |
| SIR SHADI LAL ENTERPRISES LTD.      | X                                   | XT                   |
| DANLAW TECHNOLOGIES INDIA LTD.      | X                                   | XT                   |
| Khemani Distributors & Marketi      | M                                   | MT                   |
| SCOOBEE DAY GARMENTS (INDIA) L      | X                                   | XT                   |
| Olatech Solutions Limited           | MT                                  | M                    |
| Ashnisha Industries Limited         | X                                   | XT                   |
| Silver Pearl Hospitality & Lux      | M                                   | MT                   |
| PIONEER INVESTCORP LTD.             | X                                   | XT                   |
| Datamatics Global Services Limited  | B                                   | A                    |
| Enbee Trade &amp; Finance Ltd       | X                                   | XT                   |
| BHARAT BHUSHAN SHARE & COMMODI      | X                                   | XT                   |
| GREENCREST FINANCIAL SERVICES       | X                                   | XT                   |
| KAMADGIRI FASHION LTD.              | XT                                  | X                    |
| Aashka Hospitals Limited            | M                                   | MT                   |
| PECOS Hotels And Pubs Limited       | M                                   | MT                   |
| INANI SECURITIES LTD.               | X                                   | XT                   |
| PRIYA LTD.                          | XT                                  | X                    |
| CYBELE INDUSTRIES LTD.              | X                                   | XT                   |
| 3P Land Holdings Limited            | B                                   | T                    |
| WELSPUN SPECIALTY SOLUTIONS LI      | T                                   | B                    |
| Gujarat Lease Financing Limited     | B                                   | T                    |
| JTL INDUSTRIES LIMITED              | B                                   | A                    |
| Hisar Metal Industries Limited      | T                                   | B                    |
| SHREEVATSAA FINANCE & LEASING       | XT                                  | X                    |
| Ekennis Software Service Limit      | M                                   | MT                   |
